promedio_tiempo_interacciones,papa,cursos_inscritos_periodo,num_cursos_plataforma,papa-1,delta_papa,modalidad_colegio,calendario,jornada,tipo_colegio,categoria_colegio,ciudad,Clase
187.6,3.1,2,1,3.1,0,0,0,0,0,0,1,B
106.7725806,3.9,5,2,3.9,0,0,0,0,0,0,1,B
77.14375,4,3,6,3.9,0.1,0,0,0,0,0,1,E
51.09848485,3.6,2,1,3.6,0,2,0,2,1,2,1,B
2.483333333,3.6,1,1,3.6,0,2,0,2,1,2,1,B
112.2248718,3,7,4,3,0,0,0,2,0,0,1,B
165.2583333,3.5,8,2,3.5,0,0,0,0,0,0,1,B
137.122549,3.6,4,2,3.5,0.1,0,0,0,0,0,1,B
95.55444444,3.4,6,2,3.4,0,2,0,2,1,2,30,B
194.6,3.9,5,1,3.9,0,2,0,2,1,2,1,B
28.16,3.1,0,1,3.1,0,2,0,2,1,2,31,B
242.775,3.9,3,1,3.9,0,2,0,2,1,2,1,B
144.4333333,3.9,1,1,3.9,0,2,0,2,1,2,1,B
3.233333333,3.4,3,1,3.4,0,2,0,0,1,2,1,B
210.975,4,5,1,3.9,0.1,0,0,0,0,0,8,E
167.5022222,4,2,2,4,0,2,0,2,1,2,7,E
207.9972222,3.7,7,1,3.7,0,0,0,0,0,0,1,B
206.4692308,3.7,3,2,3.7,0,0,0,0,0,0,1,B
60.10407407,3.3,5,4,3.1,0.2,2,0,2,1,2,1,B
118.1361635,3.2,4,7,3.1,0.1,2,0,2,1,2,1,B
87.0141844,3.9,2,1,3.9,0,0,0,2,0,0,1,B
216.2583333,3.7,6,1,3.6,0.1,2,0,2,1,2,32,B
158.1094203,3.7,5,3,3.6,0.1,2,0,2,1,2,32,B
34.57685185,3.6,5,7,3.6,0,2,0,2,1,2,7,B
115.4411765,3.7,5,2,3.6,0.1,2,0,2,1,2,7,B
34.69565217,3.6,6,3,3.6,0,2,0,2,1,2,1,B
28.72179487,3.7,3,3,3.6,0.1,2,0,2,1,2,1,B
261.375,3.4,6,1,3.3,0.1,0,0,0,0,0,1,B
178.8541667,3.9,7,2,3.9,0,2,0,2,1,2,1,B
152.4361111,3.9,1,4,3.9,0,2,0,2,1,2,1,B
41.02222222,4,4,4,3.9,0.1,0,0,2,0,0,1,E
97.49166667,3.5,6,2,3.5,0,2,0,4,1,2,1,B
104.6258065,3.6,6,5,3.5,0.1,2,0,4,1,2,1,B
0.633333333,4,2,2,4,0,0,0,0,0,0,15,E
110.0212963,4.2,5,4,4.1,0.1,2,0,0,1,2,1,E
184.1183333,3.5,6,2,3.4,0.1,0,2,0,0,0,1,B
274.15,3.5,4,1,3.4,0.1,0,2,0,0,0,1,B
191.125,3.3,3,1,3.3,0,0,0,0,0,0,1,B
210.5166667,3.5,3,1,3.5,0,2,0,2,1,2,1,B
8.725,3.7,5,1,3.5,0.2,2,0,2,1,2,1,B
161.8166667,4,5,1,3.9,0.1,0,0,2,0,0,1,E
110.3661458,3.8,3,2,3.7,0.1,2,0,2,1,2,1,B
